Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
3533,0.6,0.725,0.78575,0.8,0.825,0.975,33.11552684
3534,0.5,0.75,0.78325,0.8,0.825,0.925,33.0408982
3535,0.525,0.75,0.7905,0.8,0.85,0.975,33.24344702
3536,0.6,0.725,0.78525,0.775,0.85,0.95,32.37031221
3537,0.525,0.75,0.7855,0.775,0.825,0.95,32.38593743
3538,0.575,0.75,0.793625,0.8,0.83125,0.95,33.25021256
3539,0.575,0.74375,0.784125,0.7875,0.825,0.95,32.71408787
3540,0.55,0.75,0.792625,0.8,0.85,0.975,33.24661765
3541,0.575,0.75,0.785,0.8,0.83125,0.95,33.131342
3542,0.575,0.75,0.7935,0.8,0.85,0.95,33.25820392
3543,0.55,0.75,0.7925,0.8,0.85,0.975,33.19993902
3544,0.525,0.75,0.782625,0.8,0.825,0.95,33.07973727
3545,0.55,0.75,0.7925,0.8,0.85,0.975,33.14142315
3546,0.5,0.75,0.791125,0.8,0.85,0.975,33.19498491
3547,0.55,0.75,0.798875,0.8,0.85,0.975,33.30717611
3548,0.6,0.75,0.790125,0.8,0.825,0.95,33.17076545
3549,0.575,0.725,0.787625,0.8,0.85,0.95,33.05903167
3550,0.525,0.75,0.78525,0.8,0.825,0.925,33.20101953
3551,0.55,0.75,0.79925,0.8,0.85,0.95,33.22357132
3552,0.55,0.76875,0.800125,0.8,0.85,0.95,33.3249507
3553,0.525,0.75,0.79825,0.8,0.85,0.95,33.22393013
3554,0.55,0.775,0.805625,0.8125,0.85,0.925,33.76114909
3555,0.6,0.75,0.790125,0.8,0.85,0.925,33.19775729
3556,0.475,0.75,0.786,0.8,0.85,0.975,33.13010182
3557,0.625,0.75,0.79775,0.8,0.85,1,33.21147045
3558,0.6,0.75,0.792125,0.8,0.83125,0.975,33.12566512
3559,0.575,0.75,0.800875,0.8,0.85,0.95,33.33205353
3560,0.525,0.75,0.792,0.8,0.85,0.925,33.17448828
3561,0.6,0.75,0.799625,0.8,0.85,0.975,33.15937288
3562,0.625,0.75,0.80075,0.8,0.85,0.975,33.30702104
3563,0.55,0.75,0.79475,0.8,0.85,0.925,33.15040346
3564,0.6,0.775,0.797625,0.8,0.85,0.95,33.30426933
3565,0.575,0.75,0.783875,0.7875,0.825,0.975,32.76363811
3566,0.575,0.75,0.788125,0.8,0.83125,0.925,33.15407968
3567,0.6,0.74375,0.7875,0.8,0.85,0.9,33.14257099
3568,0.575,0.74375,0.78525,0.8,0.825,0.95,33.10392647
3569,0.575,0.75,0.79125,0.8,0.85,0.95,33.16988189
3570,0.6,0.75,0.78975,0.8,0.85,0.95,33.08501764
3571,0.575,0.75,0.791125,0.8,0.83125,0.95,33.16798346
3572,0.55,0.75,0.780625,0.775,0.825,0.975,32.22794051
3573,0.525,0.75,0.7815,0.8,0.825,0.95,33.02617924
3574,0.525,0.75,0.790125,0.8,0.83125,0.95,33.0710054
3575,0.55,0.75,0.78325,0.8,0.85,0.95,33.02248563
3576,0.575,0.75,0.802125,0.8,0.85,0.95,33.42633345
3577,0.575,0.75,0.800125,0.8,0.85,0.95,33.46005701
3578,0.575,0.75,0.796875,0.8,0.85,0.925,33.21771952
3579,0.525,0.75,0.782875,0.775,0.825,0.975,32.36672954
3580,0.575,0.75,0.798625,0.8,0.85,0.95,33.19960578
3581,0.55,0.75,0.801875,0.8,0.85,0.975,33.48992254
3582,0.6,0.75,0.79625,0.8,0.85,0.95,33.19166108
3583,0.575,0.75,0.795625,0.8,0.85,0.95,33.3027781
3584,0.55,0.75,0.79975,0.8,0.85,0.95,33.42659439
3585,0.6,0.75,0.793,0.8,0.85,0.95,33.24685532
3586,0.575,0.76875,0.80275,0.8,0.85,0.95,33.25529631
3587,0.5,0.725,0.78775,0.8,0.85,0.925,33.17318584
3588,0.575,0.75,0.798,0.8,0.85,0.95,33.14607151
3589,0.6,0.75,0.79225,0.8,0.85,0.95,33.13227285
3590,0.6,0.75,0.7945,0.8,0.85,0.95,33.27818827
3591,0.575,0.75,0.797,0.8,0.85,0.95,33.17013043
3592,0.55,0.75,0.791875,0.8,0.83125,0.95,33.21866989
3593,0.525,0.75,0.79475,0.8,0.85,0.925,33.21102124
3594,0.575,0.775,0.80025,0.8,0.85,0.95,33.25874927
3595,0.55,0.75,0.799375,0.8,0.85,0.95,33.30838362
3596,0.625,0.75,0.795375,0.8,0.85,0.95,33.19166086
3597,0.575,0.75,0.7885,0.8,0.825,0.95,33.15686302
3598,0.625,0.75,0.79575,0.8,0.85,0.95,33.210355
3599,0.575,0.75,0.79125,0.8,0.85,0.975,33.13312163
3600,0.525,0.75,0.791375,0.8,0.85,0.95,33.22978596
3601,0.55,0.75,0.788875,0.8,0.85,0.975,33.22668429
3602,0.575,0.75,0.789375,0.8,0.83125,0.925,33.26457633
3603,0.625,0.75,0.793,0.8,0.85,0.95,33.12210044
3604,0.55,0.75,0.794125,0.8,0.85,0.95,33.30169074
3605,0.525,0.725,0.78375,0.8,0.85,0.95,33.07574977
3606,0.5,0.75,0.7935,0.8,0.85,0.95,33.26202699
3607,0.55,0.75,0.801375,0.8,0.85,0.95,33.2725599
3608,0.575,0.75,0.791875,0.8,0.85,0.95,33.13717691
3609,0.575,0.75,0.79625,0.8,0.85,0.95,33.15096396
3610,0.55,0.75,0.790625,0.8,0.825,0.95,33.16626387
3611,0.6,0.75,0.797625,0.8,0.85,0.975,33.19883887
3612,0.575,0.75,0.795125,0.8,0.85,0.925,33.29460219
3613,0.6,0.75,0.7895,0.8,0.825,0.975,33.09784868
3614,0.6,0.75,0.790375,0.8,0.85,0.95,33.11724509
